==== START logs for container metrics-server of pod kube-system/metrics-server-86cbb8457f-n7nnt ====
I0315 14:14:57.924973       1 serving.go:312] Generated self-signed cert (apiserver.local.config/certificates/apiserver.crt, apiserver.local.config/certificates/apiserver.key)
E0316 11:52:26.876156       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:53:26.875737       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:54:26.865146       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:55:26.883607       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:56:26.883913       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:57:26.886596       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:58:26.885251       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:59:26.871387       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:00:26.871824       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:01:26.867621       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:02:26.876410       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:03:26.871855       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:04:26.874884       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:05:26.875568       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:06:26.866372       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:07:26.870435       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:08:26.863977       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:09:26.861289       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:10:26.860602       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:11:26.859053       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:12:26.860787       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:13:26.855042       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:14:26.850953       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:15:26.885717       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:16:26.875252       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:17:26.878699       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:18:26.875247       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:19:26.887659       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:20:26.866861       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:21:26.884932       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 12:22:26.906171       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
